U4E1F,丟,丢
U6B04,欄,栏
U6B0A,權,权
U6B0F,欏,椤
U6B11,欑,攒
U6B12,欒,栾
U6B16,欖,榄
U6B1E,欞,棂
U6B3D,欽,钦
U6B4E,歎,叹
U6B50,歐,欧
U6B57,歗,啸
U6B5B,歛,敛
U6B5F,歟,欤
U6B61,歡,欢
U6B72,歲,岁
U6B77,歷,历
U6B78,歸,归
U6B7F,歿,殁
U6B98,殘,残
U6B9E,殞,殒
U6BA4,殤,殇
U6BAB,殫,殚
U6BAE,殮,殓
U6BAF,殯,殡
U6BB2,殲,歼
U6BBA,殺,杀
U6BBC,殼,壳
U6BC0,毀,毁
U6BC6,毆,殴
U6BC9,毉,医
U6BE7,毧,绒
U6BEC,毬,球
U6BFF,毿,毵
U6C02,氂,牦
U6C08,氈,毡
U6C0A,氊,毡
U6C0C,氌,氇
U6C23,氣,气
U6C2B,氫,氢
U6C2C,氬,氩
U6C33,氳,氲
U6C39,氹,凼
U6C3E,氾,泛
U6C4E,汎,泛
U6C59,汙,污
U6C5A,汚,污
U6C7A,決,决
U6C8D,沍,冱
U6C92,沒,没
U6C96,沖,冲
U6CC1,況,况
U6D29,洩,泄
U6D36,洶,汹
U6D79,浹,浃
U6D87,涇,泾
U6D96,涖,莅
U6DBC,涼,凉
U6DD2,淒,凄
U6DDA,淚,泪
U6DE5,淥,渌
U6DE8,淨,净
U6DE9,淩,凌
U6DEA,淪,沦
U6DF5,淵,渊
U6DF6,淶,涞
U6DFA,淺,浅
U6E19,渙,涣
U6E1B,減,减
U6E22,渢,沨
U6E26,渦,涡
U6E2C,測,测
U6E3E,渾,浑
U6E4A,湊,凑
U6E5E,湞,浈
U6E63,湣,愍
U6E67,湧,涌
U6E6F,湯,汤
U6E88,溈,沩
U6E96,準,准
U6E9D,溝,沟
U6EAB,溫,温
U6EAE,溮,浉
U6EB3,溳,涢
U6EBC,溼,湿
U6EC4,滄,沧
U6EC5,滅,灭
U6ECC,滌,涤
U6ECE,滎,荥
U6ED9,滙,汇
U6EEC,滬,沪
U6EEF,滯,滞
U6EF2,滲,渗
U6EF7,滷,卤
U6EF8,滸,浒
U6EFB,滻,浐
U6EFE,滾,滚
U6EFF,滿,满
U6F01,漁,渔
U6F0A,漊,溇
U6F1A,漚,沤
U6F22,漢,汉
U6F23,漣,涟
U6F2C,漬,渍
U6F32,漲,涨
U6F35,漵,溆
U6F38,漸,渐
U6F3F,漿,浆
U6F41,潁,颍
U6F51,潑,泼
U6F54,潔,洁
U6F59,潙,沩
U6F5B,潛,潜
U6F5F,潟,舄
U6F64,潤,润
U6F6F,潯,浔
U6F70,潰,溃
U6F77,潷,滗
U6F7F,潿,涠
U6F80,澀,涩
U6F81,澁,涩
U6F82,澂,澄
U6F86,澆,浇
U6F87,澇,涝
U6F97,澗,涧
U6FA0,澠,渑
U6FA4,澤,泽
U6FA6,澦,滪
U6FA9,澩,泶
U6FAE,澮,浍
U6FB1,澱,淀
U6FC1,濁,浊
U6FC3,濃,浓
U6FD4,濔,沵
U6FD5,濕,湿
U6FD8,濘,泞
U6FDB,濛,蒙
U6FDC,濜,浕
U6FDF,濟,济
U6FE4,濤,涛
U6FEB,濫,滥
U6FEC,濬,浚
U6FF0,濰,潍
U6FF1,濱,滨
U6FF6,濶,阔
U6FFA,濺,溅
U6FFC,濼,泺
U6FFE,濾,滤
U7005,瀅,滢
U7006,瀆,渎
U7009,瀉,泻
U700B,瀋,渖
U700F,瀏,浏
U7015,瀕,濒
U7018,瀘,泸
U701D,瀝,沥
U701F,瀟,潇
U7020,瀠,潆
U7026,瀦,潴
U7027,瀧,泷
U7028,瀨,濑
U7030,瀰,弥
U7032,瀲,潋
U703E,瀾,澜
U7043,灃,沣
U7044,灄,滠
U7051,灑,洒
U7055,灕,漓
U7058,灘,滩
U705D,灝,灏
U7063,灣,湾
U7064,灤,滦
U7067,灧,滟
U7069,灩,滟
U707D,災,灾
U70A4,炤,照
U70BA,為,为
U70CF,烏,乌
U70F4,烴,烃
U7121,無,无
U7146,煆,煅
U7147,煇,辉
U7149,煉,炼
U7152,煒,炜
U7156,煖,暖
U7159,煙,烟
U7162,煢,茕
U7165,煥,焕
U7169,煩,烦
U716C,煬,炀
U7192,熒,荧
U7197,熗,炝
U71B1,熱,热
U71B2,熲,颎
U71BE,熾,炽
U71C1,燁,烨
U71C4,燄,焰
U71C8,燈,灯
U71C9,燉,炖
U71D0,燐,磷
U71D2,燒,烧
U71D9,燙,烫
U71DC,燜,焖
U71DF,營,营
U71E6,燦,灿
U71EC,燬,毁
U71ED,燭,烛
U71F4,燴,烩
U71FB,燻,熏
U71FC,燼,烬
U71FE,燾,焘
U71FF,燿,耀
U720D,爍,烁
U7210,爐,炉
U7217,爗,烨
U721B,爛,烂
U722D,爭,争
U7232,爲,为
U723A,爺,爷
U723E,爾,尔
U723F,爿,丬
U7240,牀,床
U7246,牆,墙
U724B,牋,笺
U7250,牐,闸
U7258,牘,牍
U7274,牴,抵
U727D,牽,牵
U7296,犖,荦
U729B,犛,牦
U72A2,犢,犊
U72A7,犧,牺
U72C0,狀,状
U72F9,狹,狭
U72FD,狽,狈
U7319,猙,狰
U7336,猶,犹
U733B,猻,狲
U7341,獁,犸
U7343,獃,呆
U7344,獄,狱
U7345,獅,狮
U734E,獎,奖
U7368,獨,独
U736A,獪,狯
U736B,獫,猃
U736E,獮,狝
U7370,獰,狞
U7372,獲,获
U7375,獵,猎
U7377,獷,犷
U7378,獸,兽
U737A,獺,獭
U737B,獻,献
U737C,獼,猕
U7380,玀,猡
U7386,玆,兹
U73A8,玨,珏
U73EE,珮,佩
U73FE,現,现
U740D,琍,璃
U742F,琯,管
U743A,琺,珐
U743F,琿,珲
U7449,瑉,珉
U744B,瑋,玮
U7452,瑒,玚
U7463,瑣,琐
U7464,瑤,瑶
U7469,瑩,莹
U746A,瑪,玛
U746F,瑯,琅
U7472,瑲,玱
U7489,璉,琏
U74A1,璡,琎
U74A3,璣,玑
U74A6,璦,瑷
U74AB,璫,珰
U74B0,環,环
U74B5,璵,玙
U74BD,璽,玺
U74BF,璿,璇
U74CA,瓊,琼
U74CF,瓏,珑
U74D4,瓔,璎
U74DA,瓚,瓒
U750C,甌,瓯
U750E,甎,砖
U7515,甕,瓮
U7516,甖,罂
U7522,產,产
U7523,産,产
U7526,甦,苏
U752F,甯,宁
U755D,畝,亩
U7562,畢,毕
U756B,畫,画
U7570,異,异
U7571,畱,留
U7576,當,当
U7587,疇,畴
U758A,疊,迭
U75D9,痙,痉
U75E0,痠,酸
U75FA,痺,痹
U7602,瘂,痖
U7609,瘉,愈
U760B,瘋,疯
U760D,瘍,疡
U7613,瘓,痪
U761E,瘞,瘗
U7621,瘡,疮
U7627,瘧,疟
U762E,瘮,瘆
U763A,瘺,瘘
U763B,瘻,瘘
U7642,療,疗
U7646,癆,痨
U7647,癇,痫
U7649,癉,瘅
U7652,癒,愈
U7658,癘,疠
U765F,癟,瘪
U7661,癡,痴
U7662,癢,痒
U7664,癤,疖
U7665,癥,症
U7667,癧,疬
U7669,癩,癞
U766C,癬,癣
U766D,癭,瘿
U766E,癮,瘾
U7670,癰,痈
U7671,癱,瘫
U7672,癲,癫
U767C,發,发
U769A,皚,皑
U76B0,皰,疱
U76B8,皸,皲
U76BA,皺,皱
U76C3,盃,杯
U76DC,盜,盗
U76DE,盞,盏
U76E1,盡,尽
U76E3,監,监
U76E4,盤,盘
U76E7,盧,卢
U76EA,盪,荡
U770E,眎,视
U7721,眡,视
U7725,眥,眦
U773E,眾,众
U774F,睏,困
U775C,睜,睁
U775E,睞,睐
U7798,瞘,眍
U779E,瞞,瞒
U77BC,瞼,睑
U77C7,矇,蒙
U77D3,矓,眬
U77DA,矚,瞩
U77EF,矯,矫
U77FD,矽,硅
U7832,砲,炮
U7843,硃,朱
U785C,硜,硁
U7864,硤,硖
U7868,硨,砗
U786F,硯,砚
U7876,硶,碜
U78A9,碩,硕
U78AD,碭,砀
U78B8,碸,砜
U78BA,確,确
U78BC,碼,码
U78D0,磐,盘
U78D1,磑,硙
U78DA,磚,砖
U78E3,磣,碜
U78E7,磧,碛
U78EF,磯,矶
U78FD,磽,硗
U7904,礄,硚
U790E,礎,础
U7919,礙,碍
U7926,礦,矿
U792A,礪,砺
U792B,礫,砾
U792C,礬,矾
U792E,礮,炮
U7931,礱,砻
U7950,祐,佑
U7955,祕,秘
U797F,祿,禄
U798D,禍,祸
U798E,禎,祯
U7995,禕,祎
U79A6,禦,御
U79AA,禪,禅
U79AE,禮,礼
U79B0,禰,祢
U79B1,禱,祷
U79BF,禿,秃
U79C8,秈,籼
U7A05,稅,税
U7A08,稈,秆
U7A1C,稜,棱
U7A1F,稟,禀
U7A2D,稭,秸
U7A2E,種,种
U7A31,稱,称
U7A40,穀,谷
U7A4C,穌,稣
U7A4D,積,积
U7A4E,穎,颖
U7A60,穠,秾
U7A61,穡,穑
U7A62,穢,秽
U7A68,穨,颓
U7A69,穩,稳
U7A6B,穫,获
U7A6D,穭,稆
U7AA9,窩,窝
U7AAA,窪,洼
U7AAE,窮,穷
U7AAF,窯,窑
U7AB0,窰,窑
U7AB6,窶,窭
U7ABA,窺,窥
U7AC4,竄,窜
U7AC5,竅,窍
U7AC7,竇,窦
U7AC8,竈,灶
U7ACA,竊,窃
U7ADD,竝,并
U7AEA,竪,竖
U7AF6,競,竞
U7B46,筆,笔
U7B4D,筍,笋
U7B67,筧,笕
U7B87,箇,个
U7B8B,箋,笺
U7B8F,箏,筝
U7BA0,箠,棰
U7BC0,節,节
U7BC4,範,范
U7BC9,築,筑
U7BCB,篋,箧
U7BDB,篛,箬
U7BE0,篠,筱
U7BE4,篤,笃
U7BE9,篩,筛
U7BF3,篳,筚
U7C00,簀,箦
U7C0D,簍,篓
U7C11,簑,蓑
U7C1E,簞,箪
U7C21,簡,简
U7C23,簣,篑
U7C2B,簫,箫
U7C37,簷,檐
U7C39,簹,筜
U7C3D,簽,签
U7C3E,簾,帘
U7C43,籃,篮
U7C4C,籌,筹
U7C50,籐,藤
U7C59,籙,箓
U7C5C,籜,箨
U7C5F,籟,籁
U7C60,籠,笼
U7C62,籢,奁
U7C64,籤,签
U7C65,籥,钥
U7C69,籩,笾
U7C6A,籪,簖
U7C6C,籬,篱
U7C6E,籮,箩
U7C72,籲,吁
U7CA7,粧,妆
U7CAC,粬,曲
U7CB5,粵,粤
U7CDD,糝,糁
U7CDE,糞,粪
U7CE2,糢,模
U7CE7,糧,粮
U7CF0,糰,团
U7CF2,糲,粝
U7CF4,糴,籴
U7CF6,糶,粜
U7CF8,糸,纟
U7CFE,糾,纠
U7D00,紀,纪
U7D02,紂,纣
U7D04,約,约
U7D05,紅,红
U7D06,紆,纡
U7D07,紇,纥
U7D08,紈,纨
U7D09,紉,纫
U7D0B,紋,纹
U7D0D,納,纳
U7D10,紐,纽
U7D13,紓,纾
U7D14,純,纯
U7D15,紕,纰
U7D16,紖,纼
U7D17,紗,纱
U7D18,紘,纮
U7D19,紙,纸
U7D1A,級,级
U7D1B,紛,纷
U7D1C,紜,纭
U7D1D,紝,纴
U7D21,紡,纺
U7D25,紥,扎
U7D2E,紮,扎
U7D30,細,细
U7D31,紱,绂
U7D32,紲,绁
U7D33,紳,绅
U7D35,紵,纻
U7D39,紹,绍
U7D3A,紺,绀
U7D3C,紼,绋
U7D3F,紿,绐
U7D40,絀,绌
U7D42,終,终
U7D43,絃,弦
U7D44,組,组
U7D46,絆,绊
U7D4D,絍,纴
U7D4E,絎,绗
U7D4F,絏,绁
U7D50,結,结
U7D55,絕,绝
U7D5B,絛,绦
U7D5D,絝,绔
U7D5E,絞,绞
U7D61,絡,络
U7D62,絢,绚
U7D66,給,给
U7D68,絨,绒
U7D70,絰,绖
U7D71,統,统
U7D72,絲,丝
U7D73,絳,绛
U7D79,絹,绢
U7D81,綁,绑
U7D83,綃,绡
U7D86,綆,绠
U7D88,綈,绨
U7D89,綉,绣
U7D8C,綌,绤
U7D8F,綏,绥
